,name,lat,lng,vicinity,city
247,"P.S.R.CHEMICAL CO.,LTD.",7.867417400000001,98.3493841,"35 M.3 Chaofa E Rd, Wichit, Mueang Phuket District","V88X+XQ Wichit, Mueang Phuket District, Phuket"
248,แอ็กโคแล็บ,7.8914214,98.3858779,"Talat Yai, Mueang Phuket District","V9RP+H9 Phuket, Mueang Phuket District, Phuket"
249,บริษัท โปรแล็บ เคมิคอล อิควิปเมนท์ แอนด์ ซัพพลาย จำกัด,7.8591,98.3512052,"10/175 Wichit, Mueang Phuket District","V952+JF Chalong, Mueang Phuket District, Phuket"
250,"Narai International Chemical Co., Ltd.",8.272081,98.30367199999999,"ทางหลวงแผ่นดินหมายเลข 402, Tambon Khok Kloi, ตะกั่วทุ่ง","78C3+RF Khok Kloi, Takua Thung District, Phang-nga"
251,"P.S.R CHEMICAL CO.,LTD.",7.867432099999999,98.3493807,"35 M, Soi 3, Wichit, Mueang Phuket District","V88X+XQ Wichit, Mueang Phuket District, Phuket"
252,Kung in Theque,8.276076699999999,98.3051066,"Khok Kloi, Takua Thung District","78G4+C2 Khok Kloi, Takua Thung District, Phang-nga"
253,บมจ.พีรพัฒน์ เทคโนโลยี ศูนย์ธุรกิจภูเก็ต,7.8459976,98.33458759999999,7/29 หมู่ 7 ถนนเจ้าฟ้านอก ต.ฉลง Mueang Phuket District,"R8WM+9R Chalong, Mueang Phuket District, Phuket"
254,Phuket Inter Chemical,7.884124099999998,98.3975411,"185, 45-46 Phangnga Rd, Tambon Talat Yai, Mueang Phuket District","V9MX+J2 Phuket, Mueang Phuket District, Phuket"
255,ร้านดี. เกษตรรุงเรือง,8.0564084,98.32345099999999,"Thep Krasat Tri-Nai Yang Rd, เทพกระษัตรี Thalang District","384F+H9 Thep Krasatti, Thalang District, Phuket"
256,ร้านชัยทวีท่าเรือ,7.9850742,98.35944029999999,"Si Sunthon, Thalang District","X9P5+2Q Si Sunthon, Thalang District, Phuket"
257,Phuket Chemical & Machinery,7.866997,98.3715059,"หมู่ที่ 3 10/47 Wichit, Mueang Phuket District","V98C+QJ Wichit, Mueang Phuket District, Phuket"
